t, c	M(t), рад	E(t), рад	Theta(t), рад	
318	0.0462512	0.133987	0.292714
319	0.0463967	0.134407	0.293623
320	0.0465421	0.134833	0.294543
321	0.0466876	0.13524	0.295421
322	0.046833	0.135666	0.296341
323	0.0469784	0.136087	0.297249
324	0.0471239	0.136485	0.298108
325	0.0472693	0.13692	0.299047
326	0.0474148	0.137318	0.299906
327	0.0475602	0.137738	0.300814
328	0.0477057	0.138145	0.301691
329	0.0478511	0.138571	0.302611
330	0.0479966	0.138992	0.303518
331	0.048142	0.139398	0.304395
332	0.0482874	0.139824	0.305315
333	0.0484329	0.140245	0.306222
334	0.0485783	0.140643	0.30708
335	0.0487238	0.141078	0.308018
336	0.0488692	0.141476	0.308876
337	0.0490147	0.141897	0.309782
338	0.0491601	0.142303	0.310659
339	0.0493056	0.142729	0.311577
340	0.049451	0.14315	0.312484
341	0.0495964	0.143557	0.31336
342	0.0497419	0.143983	0.314278
343	0.0498873	0.144404	0.315185
344	0.0500328	0.144801	0.316042
345	0.0501782	0.145236	0.316978
346	0.0503237	0.145634	0.317835
347	0.0504691	0.146055	0.318741
348	0.0506145	0.146462	0.319617
349	0.05076	0.146888	0.320534
350	0.0509054	0.147308	0.32144
351	0.0510509	0.147715	0.322315
352	0.0511963	0.148141	0.323232
353	0.0513418	0.148539	0.324088
354	0.0514872	0.14896	0.324994
355	0.0516327	0.149366	0.325868
356	0.0517781	0.149793	0.326785
357	0.0519235	0.150199	0.32766
358	0.052069	0.150611	0.328546
359	0.0522144	0.151046	0.329481
360	0.0523599	0.151444	0.330336
361	0.0525053	0.151851	0.331211
362	0.0526508	0.152277	0.332127
363	0.0527962	0.152697	0.333031
364	0.0529417	0.153104	0.333905
365	0.0530871	0.15353	0.33482
366	0.0532325	0.153928	0.335675
367	0.053378	0.154349	0.336579
368	0.0535234	0.154755	0.337453
369	0.0536689	0.155182	0.338368
370	0.0538143	0.155602	0.339272
371	0.0539598	0.156	0.340126
372	0.0541052	0.156435	0.34106
373	0.0542507	0.156833	0.341914
374	0.0543961	0.157254	0.342817
375	0.0545415	0.15766	0.34369
376	0.054687	0.158086	0.344604
377	0.0548324	0.158484	0.345458
378	0.0549779	0.158905	0.346361
379	0.0551233	0.159312	0.347233
380	0.0552688	0.159738	0.348147
381	0.0554142	0.160159	0.349049
382	0.0555596	0.160557	0.349903
383	0.0557051	0.160963	0.350775
384	0.0558505	0.161389	0.351688
385	0.055996	0.16181	0.35259
386	0.0561414	0.162208	0.353443
387	0.0562869	0.162615	0.354315
388	0.0564323	0.163041	0.355228
389	0.0565778	0.163461	0.356129
390	0.0567232	0.163859	0.356982
391	0.0568686	0.164294	0.357913
392	0.0570141	0.164692	0.358765
393	0.0571595	0.165113	0.359666
394	0.057305	0.165519	0.360537
395	0.0574504	0.165946	0.361449
396	0.0575959	0.166343	0.362301
397	0.0577413	0.166764	0.363202
398	0.0578868	0.167171	0.364072
399	0.0580322	0.167597	0.364984
400	0.0581776	0.167995	0.365835
401	0.0583231	0.168416	0.366735
402	0.0584685	0.168814	0.367586
403	0.058614	0.16922	0.368456
404	0.0587594	0.169646	0.369367
405	0.0589049	0.170067	0.370267
406	0.0590503	0.170465	0.371118
407	0.0591958	0.170872	0.371987
408	0.0593412	0.171298	0.372898
409	0.0594866	0.171718	0.373797
410	0.0596321	0.172116	0.374647
411	0.0597775	0.172523	0.375516
412	0.059923	0.172949	0.376426
413	0.0600684	0.17337	0.377325
414	0.0602139	0.173768	0.378175
415	0.0603593	0.174174	0.379043
416	0.0605047	0.174601	0.379953
417	0.0606502	0.174998	0.380802
418	0.0607956	0.175419	0.3817
419	0.0609411	0.175826	0.382568
420	0.0610865	0.176252	0.383478
421	0.061232	0.17665	0.384327
