t, c	M(t), рад	E(t), рад	Theta(t), рад	
286	0.041597	0.120639	0.263837
287	0.0417425	0.12106	0.264747
288	0.0418879	0.121468	0.265632
289	0.0420333	0.121888	0.266542
290	0.0421788	0.122308	0.267452
291	0.0423242	0.122729	0.268362
292	0.0424697	0.123149	0.269272
293	0.0426151	0.123557	0.270157
294	0.0427606	0.123977	0.271067
295	0.042906	0.124397	0.271977
296	0.0430515	0.124818	0.272886
297	0.0431969	0.125238	0.273795
298	0.0433423	0.125646	0.27468
299	0.0434878	0.126066	0.275589
300	0.0436332	0.126487	0.276498
301	0.0437787	0.126907	0.277407
302	0.0439241	0.127315	0.278292
303	0.0440696	0.127735	0.279201
304	0.044215	0.128156	0.280109
305	0.0443605	0.128576	0.281018
306	0.0445059	0.128984	0.281902
307	0.0446513	0.129404	0.28281
308	0.0447968	0.129824	0.283719
309	0.0449422	0.130245	0.284627
310	0.0450877	0.130653	0.285511
311	0.0452331	0.131073	0.286419
312	0.0453786	0.131493	0.287327
313	0.045524	0.131902	0.28821
314	0.0456694	0.132322	0.289118
315	0.0458149	0.132742	0.290026
316	0.0459603	0.133162	0.290933
317	0.0461058	0.133571	0.291816
318	0.0462512	0.133991	0.292724
319	0.0463967	0.134411	0.293631
320	0.0465421	0.13482	0.294514
321	0.0466876	0.13524	0.295421
322	0.046833	0.13566	0.296328
323	0.0469784	0.136069	0.29721
324	0.0471239	0.136489	0.298117
325	0.0472693	0.136909	0.299024
326	0.0474148	0.137318	0.299906
327	0.0475602	0.137738	0.300813
328	0.0477057	0.138158	0.301719
329	0.0478511	0.138567	0.302601
330	0.0479966	0.138987	0.303507
331	0.048142	0.139407	0.304413
332	0.0482874	0.139815	0.305295
333	0.0484329	0.140235	0.306201
334	0.0485783	0.140656	0.307107
335	0.0487238	0.141064	0.307988
336	0.0488692	0.141484	0.308894
337	0.0490147	0.141904	0.309799
338	0.0491601	0.142313	0.31068
339	0.0493056	0.142733	0.311586
340	0.049451	0.143142	0.312466
341	0.0495964	0.143562	0.313372
342	0.0497419	0.143982	0.314277
343	0.0498873	0.144391	0.315157
344	0.0500328	0.144811	0.316062
345	0.0501782	0.145219	0.316942
346	0.0503237	0.14564	0.317847
347	0.0504691	0.14606	0.318752
348	0.0506145	0.146468	0.319631
349	0.05076	0.146888	0.320536
350	0.0509054	0.147297	0.321416
351	0.0510509	0.147717	0.32232
352	0.0511963	0.148126	0.323199
353	0.0513418	0.148546	0.324103
354	0.0514872	0.148955	0.324983
355	0.0516327	0.149375	0.325886
356	0.0517781	0.149795	0.32679
357	0.0519235	0.150203	0.327669
358	0.052069	0.150624	0.328572
359	0.0522144	0.151032	0.329451
360	0.0523599	0.151452	0.330355
361	0.0525053	0.151861	0.331233
362	0.0526508	0.152281	0.332136
363	0.0527962	0.15269	0.333014
364	0.0529417	0.15311	0.333917
365	0.0530871	0.153519	0.334795
366	0.0532325	0.153939	0.335698
367	0.053378	0.154347	0.336576
368	0.0535234	0.154767	0.337478
369	0.0536689	0.155176	0.338356
370	0.0538143	0.155596	0.339258
371	0.0539598	0.156005	0.340136
372	0.0541052	0.156425	0.341038
373	0.0542507	0.156834	0.341915
374	0.0543961	0.157254	0.342817
375	0.0545415	0.157662	0.343694
376	0.054687	0.158082	0.344596
377	0.0548324	0.158491	0.345473
378	0.0549779	0.158911	0.346374
379	0.0551233	0.15932	0.347251
380	0.0552688	0.159729	0.348127
381	0.0554142	0.160149	0.349028
382	0.0555596	0.160557	0.349904
383	0.0557051	0.160977	0.350805
384	0.0558505	0.161386	0.351681
385	0.055996	0.161806	0.352582
386	0.0561414	0.162215	0.353458
387	0.0562869	0.162623	0.354334
388	0.0564323	0.163044	0.355234
389	0.0565778	0.163452	0.356109
390	0.0567232	0.163872	0.357009
391	0.0568686	0.164281	0.357885
392	0.0570141	0.16469	0.35876
393	0.0571595	0.16511	0.35966
394	0.057305	0.165518	0.360535
395	0.0574504	0.165927	0.36141
396	0.0575959	0.166347	0.362309
397	0.0577413	0.166756	0.363184
398	0.0578868	0.167176	0.364083
399	0.0580322	0.167585	0.364957
400	0.0581776	0.167993	0.365832
401	0.0583231	0.168413	0.36673
402	0.0584685	0.168822	0.367604
403	0.058614	0.169231	0.368478
404	0.0587594	0.169651	0.369377
405	0.0589049	0.170059	0.370251
406	0.0590503	0.170468	0.371124
407	0.0591958	0.170888	0.372022
408	0.0593412	0.171297	0.372896
409	0.0594866	0.171705	0.373769
410	0.0596321	0.172126	0.374667
411	0.0597775	0.172534	0.37554
412	0.059923	0.172943	0.376413
413	0.0600684	0.173352	0.377286
