t, c	M(t), рад	E(t), рад	Theta(t), рад	
522	0.0759218	0.217914	0.471733
523	0.0760673	0.218319	0.472585
524	0.0762127	0.218724	0.473436
525	0.0763582	0.21913	0.474288
526	0.0765036	0.219535	0.475139
527	0.076649	0.21994	0.47599
528	0.0767945	0.220345	0.476841
529	0.0769399	0.22075	0.477691
530	0.0770854	0.221155	0.478541
531	0.0772308	0.22156	0.479391
532	0.0773763	0.221965	0.480241
533	0.0775217	0.222369	0.48109
534	0.0776672	0.222774	0.481939
535	0.0778126	0.223179	0.482788
536	0.077958	0.223583	0.483636
537	0.0781035	0.223988	0.484484
538	0.0782489	0.224392	0.485332
539	0.0783944	0.224796	0.48618
540	0.0785398	0.225201	0.487027
541	0.0786853	0.225605	0.487874
542	0.0788307	0.226009	0.488721
543	0.0789761	0.226413	0.489567
544	0.0791216	0.226817	0.490414
545	0.079267	0.227221	0.49126
546	0.0794125	0.227625	0.492105
547	0.0795579	0.228029	0.492951
548	0.0797034	0.228432	0.493796
549	0.0798488	0.228836	0.494641
550	0.0799943	0.22924	0.495485
551	0.0801397	0.229643	0.496329
552	0.0802851	0.230047	0.497173
553	0.0804306	0.23045	0.498017
554	0.080576	0.230853	0.49886
555	0.0807215	0.231257	0.499704
556	0.0808669	0.23166	0.500546
557	0.0810124	0.232063	0.501389
558	0.0811578	0.232466	0.502231
559	0.0813033	0.232869	0.503073
560	0.0814487	0.233272	0.503915
561	0.0815941	0.233675	0.504756
562	0.0817396	0.234077	0.505597
563	0.081885	0.23448	0.506438
564	0.0820305	0.234883	0.507279
565	0.0821759	0.235285	0.508119
566	0.0823214	0.235688	0.508959
567	0.0824668	0.23609	0.509799
568	0.0826123	0.236493	0.510638
569	0.0827577	0.236895	0.511477
570	0.0829031	0.237297	0.512316
571	0.0830486	0.237699	0.513155
572	0.083194	0.238101	0.513993
573	0.0833395	0.238503	0.514831
574	0.0834849	0.238905	0.515669
575	0.0836304	0.239307	0.516506
576	0.0837758	0.239709	0.517343
577	0.0839212	0.240111	0.51818
578	0.0840667	0.240513	0.519016
579	0.0842121	0.240914	0.519853
580	0.0843576	0.241316	0.520689
581	0.084503	0.241717	0.521524
582	0.0846485	0.242119	0.52236
583	0.0847939	0.24252	0.523195
584	0.0849394	0.242921	0.524029
585	0.0850848	0.243322	0.524864
586	0.0852302	0.243723	0.525698
587	0.0853757	0.244125	0.526532
588	0.0855211	0.244526	0.527366
589	0.0856666	0.244926	0.528199
590	0.085812	0.245327	0.529032
591	0.0859575	0.245728	0.529865
592	0.0861029	0.246129	0.530697
593	0.0862484	0.246529	0.531529
594	0.0863938	0.24693	0.532361
595	0.0865392	0.24733	0.533193
596	0.0866847	0.247731	0.534024
597	0.0868301	0.248131	0.534855
598	0.0869756	0.248531	0.535686
